study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias
PRJNA352475	SAMN06350076	SRS1992849	SRX2578021	SRR5274038	2141_t2	CA_C10009IS2141FE_t2M15
PRJNA352475	SAMN06350075	SRS1992850	SRX2578022	SRR5274039	2139_t1	CA_C10009IS2139SA_t1M15
PRJNA352475	SAMN06350074	SRS1992851	SRX2578023	SRR5274040	2138_t1	CA_C10009IS2138FE_t1M15
PRJNA352475	SAMN06350073	SRS1992852	SRX2578024	SRR5274041	2117_t0	CA_C10008MS2117VA_t0M15
PRJNA352475	SAMN06350072	SRS1992853	SRX2578025	SRR5274042	2115_t0	CA_C10008MS2115SA_t0M15
PRJNA352475	SAMN06350071	SRS1992854	SRX2578026	SRR5274043	2131_t5	CA_C10008IS2131FE_t5M16
PRJNA352475	SAMN06350070	SRS1992855	SRX2578027	SRR5274044	2127_t3	CA_C10008IS2127FE_t3M15
PRJNA352475	SAMN06350069	SRS1992856	SRX2578028	SRR5274045	2124_t2	CA_C10008IS2124SA_t2M15
PRJNA352475	SAMN06350068	SRS1992857	SRX2578029	SRR5274046	2123_t2	CA_C10008IS2123FE_t2M15
PRJNA352475	SAMN06350067	SRS1992858	SRX2578030	SRR5274047	2121_t1	CA_C10008IS2121SA_t1M15
PRJNA352475	SAMN06350066	SRS1992859	SRX2578031	SRR5274048	2120_t1	CA_C10008IS2120FE_t1M15
PRJNA352475	SAMN06350065	SRS1992860	SRX2578032	SRR5274049	2113_t5	CA_C10007IS2113FE_t5M16
PRJNA352475	SAMN06350064	SRS1992861	SRX2578033	SRR5274050	2114_t4	CA_C10007IS2114FE_t4M15
PRJNA352475	SAMN06350063	SRS1992862	SRX2578034	SRR5274051	2110_t3	CA_C10007IS2110FE_t3M15
PRJNA352475	SAMN06350062	SRS1992863	SRX2578035	SRR5274052	2106_t2	CA_C10007IS2106SA_t2M15
PRJNA352475	SAMN06350061	SRS1992864	SRX2578036	SRR5274053	2105_t2	CA_C10007IS2105FE_t2M15
PRJNA352475	SAMN06350060	SRS1992865	SRX2578037	SRR5274054	2102_t1	CA_C10007IS2102FE_t1M15
PRJNA352475	SAMN06350059	SRS1992867	SRX2578038	SRR5274055	2100_t0	CA_C10007MS2100SK_t0M15
PRJNA352475	SAMN06350058	SRS1992866	SRX2578039	SRR5274056	2099_t0	CA_C10007MS2099VA_t0M15
PRJNA352475	SAMN06350057	SRS1992868	SRX2578040	SRR5274057	2097_t0	CA_C10007MS2097SA_t0M15
PRJNA352475	SAMN06350056	SRS1992869	SRX2578041	SRR5274058	2098_t0	CA_C10007MS2098FE_t0M15
PRJNA352475	SAMN06350055	SRS1992870	SRX2578042	SRR5274059	2095_t5	CA_C10006IS2095FE_t5M16
PRJNA352475	SAMN06350054	SRS1992871	SRX2578043	SRR5274060	2095_t4	CA_C10006IS2095FE_t4M15
PRJNA352475	SAMN06350053	SRS1992872	SRX2578044	SRR5274061	2091_t3	CA_C10006IS2091FE_t3M15
PRJNA352475	SAMN06350052	SRS1992873	SRX2578045	SRR5274062	2088_t2	CA_C10006IS2088SA_t2M15
PRJNA352475	SAMN06350051	SRS1992874	SRX2578046	SRR5274063	2087_t2	CA_C10006IS2087FE_t2M15
PRJNA352475	SAMN06350050	SRS1992875	SRX2578047	SRR5274064	2085_t1	CA_C10006IS2085SA_t1M15
PRJNA352475	SAMN06350049	SRS1992877	SRX2578048	SRR5274065	2084_t1	CA_C10006IS2084FE_t1M15
PRJNA352475	SAMN06350048	SRS1992876	SRX2578049	SRR5274066	2082_t0	CA_C10006MS2082SK_t0M15
PRJNA352475	SAMN06350047	SRS1992878	SRX2578050	SRR5274067	2079_t0	CA_C10006MS2079SA_t0M15
PRJNA352475	SAMN06350046	SRS1992879	SRX2578051	SRR5274068	2077_t5	CA_C10005IS2077FE_t5M15
PRJNA352475	SAMN06350045	SRS1992880	SRX2578052	SRR5274069	2077_t4	CA_C10005IS2077FE_t4M15
PRJNA352475	SAMN06350044	SRS1992881	SRX2578053	SRR5274070	2069_t2	CA_C10005IS2069FE_t2M15
PRJNA352475	SAMN06350043	SRS1992882	SRX2578054	SRR5274071	2070_t2	CA_C10005IS2070SA_t2M15
PRJNA352475	SAMN06350042	SRS1992883	SRX2578055	SRR5274072	2066_t1	CA_C10005IS2066FE_t1M15
PRJNA352475	SAMN06350041	SRS1992884	SRX2578056	SRR5274073	2062_t0	CA_C10005MS2062FE_t0M15
