study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382570	SRS3395880	SRX4184499	SRR7280903	EDIA300474	G102327	M0297-Child:1 month
PRJNA475246	SAMN09382569	SRS3395879	SRX4184498	SRR7280904	EDIA300473	G102326	M0297-Child:14 days
PRJNA475246	SAMN09382572	SRS3395876	SRX4184497	SRR7280905	EDIA300476	G102329	M0297-Child:3 months
PRJNA475246	SAMN09382571	SRS3395874	SRX4184496	SRR7280906	EDIA300475	G102328	M0297-Child:2 months
PRJNA475246	SAMN09382693	SRS3395875	SRX4184495	SRR7280907	EDIA301484	G104631	M0792-Child:14 days
PRJNA475246	SAMN09382694	SRS3395872	SRX4184494	SRR7280908	EDIA301483	G104629	M0792-Mother:3 months
PRJNA475246	SAMN09382695	SRS3395873	SRX4184493	SRR7280909	EDIA301482	G104628	M0792-Mother:Birth
PRJNA475246	SAMN09382696	SRS3395869	SRX4184492	SRR7280910	EDIA301027	G104627	M0792-Mother:Gest
PRJNA475246	SAMN09382578	SRS3395871	SRX4184491	SRR7280911	EDIA300509	G102335	M0305-Child:1 month
PRJNA475246	SAMN09382577	SRS3395870	SRX4184490	SRR7280912	EDIA300508	G102334	M0305-Child:14 days
PRJNA475246	SAMN09382691	SRS3395867	SRX4184489	SRR7280913	EDIA301487	G104634	M0792-Child:3 months
PRJNA475246	SAMN09382692	SRS3395865	SRX4184488	SRR7280914	EDIA301232	G104630	M0792-Child:Birth
PRJNA475246	SAMN09382702	SRS3395868	SRX4184487	SRR7280915	EDIA301488	G104637	M0806-Mother:3 months
PRJNA475246	SAMN09382690	SRS3395864	SRX4184486	SRR7280916	EDIA301486	G104633	M0792-Child:2 months
PRJNA475246	SAMN09382701	SRS3395866	SRX4184485	SRR7280917	EDIA301489	G104639	M0806-Child:14 days
PRJNA475246	SAMN09382525	SRS3395861	SRX4184484	SRR7280918	EDIA300163	G104701	M0177-Child:Birth
PRJNA475246	SAMN09382526	SRS3395863	SRX4184483	SRR7280919	EDIA300164	G104700	M0177-Mother:Birth
PRJNA475246	SAMN09382523	SRS3395860	SRX4184482	SRR7280920	EDIA300173	G104697	M0162-Mother:Birth
PRJNA475246	SAMN09382524	SRS3395859	SRX4184481	SRR7280921	EDIA300069	G104696	M0162-Mother:Gest
PRJNA475246	SAMN09382521	SRS3395862	SRX4184480	SRR7280922	EDIA300072	G104702	M0157-Mother:Gest
PRJNA475246	SAMN09382522	SRS3395858	SRX4184479	SRR7280923	EDIA300161	G104698	M0162-Child:Birth
PRJNA475246	SAMN09382519	SRS3395857	SRX4184478	SRR7280924	EDIA300155	G104704	M0157-Child:Birth
PRJNA475246	SAMN09382520	SRS3395854	SRX4184477	SRR7280925	EDIA300195	G104703	M0157-Mother:Birth
PRJNA475246	SAMN09382527	SRS3395855	SRX4184476	SRR7280926	EDIA300080	G104699	M0177-Mother:Gest
